run time in ms,sample size,beta,eta,ar,ap
771,10,2.64981,1.11095,0.311968,0.81055
1013,10,1.89862,0.574348,0.889056,0.207799
834,10,3.92689,1.50238,0.0571213,0.711348
872,10,1.38487,0.510449,0.99242,0.586386
663,10,3.72372,1.57291,0.212214,0.847208
4181,100,2.13867,0.711522,0.193619,0.501001
4119,100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3975,100,2.47855,0.854076,0.340384,0.108216
3818,100,1.73964,0.772529,0.905432,0.987455
3934,100,2.61339,1.15189,0.248632,0.672796
36013,1000,2.67603,1.11557,0.413076,0.575084
32932,1000,1.9194,0.851766,0.780184,0.711567
35250,1000,2.29218,0.942916,0.570827,0.564299
34519,1000,2.25898,1.04077,0.74091,0.630447
39441,1000,2.56741,1.14045,0.401843,0.744901
385260,10000,2.30856,0.963657,0.456318,0.724253
356829,10000,2.28057,1.02489,0.49812,0.790796
385424,10000,2.38706,1.06244,0.394146,0.806271
343856,10000,2.25124,0.93318,0.511838,0.672154
338625,10000,2.51101,1.06036,0.274423,0.793283
3454758,100000,2.44072,1.04829,0.41647,0.740074
3464371,100000,2.36651,1.03442,0.463178,0.747681
3466205,100000,2.33721,1.0346,0.470014,0.754116
3406300,100000,2.37113,1.03148,0.458482,0.734608
3386620,100000,2.39023,1.08388,0.50744,0.767495
34975145,1000000,2.3336,1.02889,0.482979,0.739989
35321975,1000000,2.33703,1.02714,0.470781,0.750144
35709957,1000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
35091929,1000000,2.36792,1.03718,0.449054,0.765276
35504088,1000000,2.35001,1.02846,0.457942,0.744257
350740702,10000000,2.35637,1.03516,0.461643,0.748618
346339437,10000000,2.35306,1.03138,0.460621,0.748675
350211120,10000000,2.34714,1.033,0.467517,0.748709
351724163,10000000,2.35557,1.03276,0.459621,0.750018
347948721,10000000,2.34406,1.02888,0.464362,0.751554
